address,balance
0x00000000219ab540356cbb839cbe05303d7705fa,12684484000069000000000069
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5898853872536801166474923
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,2113030004434567800000000
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,1996008282101134217643490
0x73bceb1cd57c711feac4224d062b0f6ff338501e,1901505523810493881366027
0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,1490000018092709141375000
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,746270843929253631163416
0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,636802098263954025630094
0xf977814e90da44bfa03b6295a0616a897441acec,633288788415109596052536
0x742d35cc6634c0532925a3b844bc454e4438f44e,587686229491403953695443
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,579498953581340000000001
0x07ee55aa48bb72dcc6e9d78256648910de513eca,559597218193847140000001
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,483998923638068298816832
0xe92d1a43df510f82c66382592a047d288f85226f,450000050085726438778778
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,409299996495000000000000
0xa7efae728d2936e78bda97dc267687568dd593f3,406220189500387718487672
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,386490494310740290645808
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,348269807403185816963191
0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,325386842419939593667095
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,325000480017070240350400
0x0548f59fee79f8832c299e01dca5c76f034f558e,324295708110820075005772
0xa929022c9107643515f5c777ce9a910f0d1e490c,311863667672486576865507
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,308614820013391137547825
0x3bfc20f0b9afcace800d73d2191166ff16540258,306276635361399926202000
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,290000921868399000000010
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,287776189663058406839640
0x8103683202aa8da10536036edef04cdd865c225e,275000027419999999999999
0x176f3dab24a159341c0509bb36b833e7fdd0a132,259646557040850597060852
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,254248454016940000000000
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,250000017045971329543721
0x9acb5ce4878144a74eeededa54c675aa59e0d3d2,245946480945205956107500
0x9845e1909dca337944a0272f1f9f7249833d2d19,235001218273491512054825
0x826aba5e13ad2109f71561e25e4ede7ee05bad68,232006269943745066401179
0x189b9cbd4aff470af2c0102f365fc1823d857965,231224781705487208511963
0x4399f61795d3e50096e236a6d31ab24470c99fd5,223523555330000000000000
0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b,217843834726530749492460
0x59448fe20378357f206880c58068f095ae63d5a5,215368755910440000000000
0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,209917741391940725211209
0xbddf00563c9abd25b576017f08c46982012f12be,206078187217000000000000
0xa160cdab225685da1d56aa342ad8841c3b53f291,203800000000000000000000
0x78605df79524164911c144801f41e9811b7db73d,200748938473120426836325
0x558553d54183a8542f7832742e7b4ba9c33aa1e6,200001664584000000000000
0x98ec059dc3adfbdd63429454aeb0c990fba4a128,200000107035971329543721
0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,200000000000000000000000
0xcdbf58a9a9b54a2c43800c50c7192946de858321,193799074960000000000911
0x5f397b62502e255f68382791947d54c4b2d37f09,193498433348537104819980
0x66f820a414680b5bcda5eeca5dea238543f42054,188508652266785945276777
0x19184ab45c40c2920b0e0e31413b9434abd243ed,187157004845553868278706
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,187068195590000000000000
0xb8808f9e9b88497ec522304055cd537a0913f6a0,185852593721977408633531
0xf774da4418c6dca3051f0e7570829b24214e730b,184380658439376315191493
0x36a85757645e8e8aec062a1dee289c7d615901ca,177328307659680000000000
0xd69b0089d9ca950640f5dc9931a41a5965f00303,172473375645147002465430
0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,172111597406966073401648
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,172038067196753900234436
0xcffad3200574698b78f32232aa9d63eabd290703,170414854463455616306437
0xdc1487e092caba080c6badafaa75a58ce7a2ec34,170371289285315659347543
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,169031993519583935970841
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,167034343113247593314478
0x7d812b62dc15e6f4073eba8a2ba8db19c4e40704,159952037131182981268671
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,156686597109917790284471
0xfd898a0f677e97a9031654fc79a27cb5e31da34a,150000100000000000000000
0x701c484bfb40ac628afa487b6082f084b14af0bd,150000001069000000000000
0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,150000001000000000000000
0x4b4a011c420b91260a272afd91e54accdafdfc1d,150000001000000000000000
0x367989c660881e1ca693730f7126fe0ffc0963fb,150000001000000000000000
0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,150000000000000000000912
0x091933ee1088cdf5daace8baec0997a4e93f0dd6,150000000000000000000000
0x554f4476825293d4ad20e02b54aca13956acc40a,150000000000000000000000
0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,150000000000000000000000
0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,150000000000000000000000
0xe35b0ef92452c353dbb93775e0df97cedf873c72,150000000000000000000000
0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,150000000000000000000000
0xba18ded5e0d604a86428282964ae0bb249ceb9d0,150000000000000000000000
0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,150000000000000000000000
0xca582d9655a50e6512045740deb0de3a7ee5281f,150000000000000000000000
0x0518f5bb058f6215a0ff5f4df54dae832d734e04,150000000000000000000000
0x77afe94859163abf0b90725d69e904ea91446c7b,150000000000000000000000
0xb9fa6e54025b4f0829d8e1b42e8b846914659632,150000000000000000000000
0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,150000000000000000000000
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,150000000000000000000000
0x550cd530bc893fc6d2b4df6bea587f17142ab64e,150000000000000000000000
0xb20411c403687d1036e05c8a7310a0f218429503,150000000000000000000000
0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,150000000000000000000000
0x8b83b9c4683aa4ec897c569010f09c6d04608163,150000000000000000000000
0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,150000000000000000000000
0xfe01a216234f79cfc3bea7513e457c6a9e50250d,150000000000000000000000
0x7ae92148e79d60a0749fd6de374c8e81dfddf792,150000000000000000000000
0xb8cda067fabedd1bb6c11c626862d7255a2414fe,150000000000000000000000
0xd05e6bf1a00b5b4c9df909309f19e29af792422b,150000000000000000000000
0x828103b231b39fffce028562412b3c04a4640e64,150000000000000000000000
0x19d599012788b991ff542f31208bab21ea38403e,150000000000000000000000
0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,150000000000000000000000
0xd57479b8287666b44978255f1677e412d454d4f0,147699424503407102942053
0x4baf012726cb5ec7dda57bc2770798a38100c44d,145000098394974456674400
0x3262f13a39efaca789ae58390441c9ed76bc658a,138498041651999998804000
0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,135283676786007761564439
0xd6216fc19db775df9774a6e33526131da7d19a2c,131907118112760895142101
0x8d95842b0bca501446683be598e12f1c616770c1,130000000000000000000000
0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,129793403096616202362817
0xb93d8596ac840816bd366dc0561e8140afd0d1cb,128576120636595543333083
0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,123587690251870000000000
0x8bb23034a89b170815083520c78d318a54ec6f6e,123119384278622542722369
0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,122305312716241986644616
